epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12357.9,0.94675,0.96938,1.0164,0.43727,0.86013,0.46097,0.33498,0.97847,1.3736,1.02926,0.000990365,0.000990365,0.000990365
43,12639.3,0.96541,0.9652,1.0249,0.46102,0.88296,0.46732,0.33015,0.99084,1.28798,1.05271,0.000973861,0.000973861,0.000973861
44,12920.7,0.91819,0.92929,0.99487,0.39083,0.82772,0.40536,0.28727,0.97604,1.51905,1.02472,0.000957358,0.000957358,0.000957358
45,13201.9,0.91292,0.92176,0.99898,0.42616,0.8467,0.46019,0.32197,1.02165,1.42361,1.05186,0.000940855,0.000940855,0.000940855
46,13482.7,0.90032,0.90607,0.9936,0.41764,0.84289,0.43001,0.31176,0.95814,1.45795,1.01772,0.000924352,0.000924352,0.000924352
47,13761.3,0.91143,0.92562,0.99488,0.42959,0.78205,0.44993,0.33491,0.89391,1.27498,0.99168,0.000907848,0.000907848,0.000907848
48,14041.8,0.88536,0.87048,0.98268,0.43324,0.83649,0.44365,0.31636,0.96159,1.35854,1.02253,0.000891345,0.000891345,0.000891345
49,14323.2,0.89896,0.87791,0.98984,0.42463,0.84039,0.44748,0.32288,1.00078,1.41133,1.03089,0.000874842,0.000874842,0.000874842
50,14603.1,0.88937,0.86163,0.98705,0.42166,0.84188,0.4344,0.31068,0.95516,1.39708,1.0251,0.000858338,0.000858338,0.000858338
51,14884,0.92278,0.903,1.00652,0.4164,0.76249,0.4101,0.28932,1.05461,1.58448,1.08936,0.000841835,0.000841835,0.000841835
52,15164.1,0.87112,0.87175,0.98324,0.40542,0.75672,0.41044,0.28519,1.02446,1.69668,1.06335,0.000825332,0.000825332,0.000825332
53,15446.2,0.89102,0.86194,0.9828,0.42453,0.8611,0.45878,0.33679,0.96809,1.27881,1.02818,0.000808828,0.000808828,0.000808828
54,15727.6,0.88388,0.83346,0.98332,0.44089,0.81649,0.47693,0.34957,0.97818,1.34399,1.05156,0.000792325,0.000792325,0.000792325
