epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.481,1.32906,3.25729,1.16856,0.00225,0.55008,0.11913,0.07243,1.09328,4.21387,1.05483,0.000545744,0.000545744,0.000545744
2,595.062,1.29077,2.39447,1.17376,0.47434,0.49314,0.38788,0.26282,1.18746,3.16801,1.21178,0.00109051,0.00109051,0.00109051
3,885.442,1.2258,2.0599,1.16317,0.42052,0.61379,0.3822,0.24416,1.27261,2.71436,1.30134,0.00162427,0.00162427,0.00162427
4,1175.06,1.23504,1.84286,1.15131,0.40994,0.62487,0.41401,0.26525,1.22269,2.28902,1.15501,0.00161749,0.00161749,0.00161749
5,1465.03,1.20926,1.65409,1.14014,0.32355,0.46242,0.27434,0.17644,1.2137,2.67887,1.23409,0.00160099,0.00160099,0.00160099
6,1773.92,1.1527,1.5237,1.11644,0.42933,0.71022,0.43668,0.3017,1.12702,1.52485,1.08331,0.00158448,0.00158448,0.00158448
7,2084.43,1.15033,1.42706,1.10369,0.43899,0.80116,0.46897,0.30358,1.16274,1.54599,1.08995,0.00156798,0.00156798,0.00156798
8,2404.63,1.13447,1.3786,1.09242,0.44796,0.77841,0.46724,0.32824,1.03979,1.4502,1.05101,0.00155148,0.00155148,0.00155148
